metric,view,first_measured,last_measured,days_present,pct_of_snapshots,comparable_from,comparability_note
change.followup_7d.den,change,2026-06-02,2026-08-27,46,100.0,2026-08-26,"Definition changed 2026-08-17, then 2026-08-26. Earlier points are real readings of a DIFFERENT measure — the dashboard keeps them and breaks the line at each change rather than dropping them, so do not join the segments into a single series. A snapshot with an empty denominator is unknown, not zero — check the .den column before plotting. Counts a real client contact, not any edit to the record. Quotes with no contact date are left out, not counted as untouched. The line breaks where either of those changed — don't compare across a break."
change.followup_7d.excluded,change,2026-08-26,2026-08-27,2,4.3,2026-08-26,"Definition changed 2026-08-17, then 2026-08-26. Earlier points are real readings of a DIFFERENT measure — the dashboard keeps them and breaks the line at each change rather than dropping them, so do not join the segments into a single series. A snapshot with an empty denominator is unknown, not zero — check the .den column before plotting. Counts a real client contact, not any edit to the record. Quotes with no contact date are left out, not counted as untouched. The line breaks where either of those changed — don't compare across a break."
change.followup_7d.num,change,2026-06-02,2026-08-27,46,100.0,2026-08-26,"Definition changed 2026-08-17, then 2026-08-26. Earlier points are real readings of a DIFFERENT measure — the dashboard keeps them and breaks the line at each change rather than dropping them, so do not join the segments into a single series. A snapshot with an empty denominator is unknown, not zero — check the .den column before plotting. Counts a real client contact, not any edit to the record. Quotes with no contact date are left out, not counted as untouched. The line breaks where either of those changed — don't compare across a break."
change.followup_7d.pct,change,2026-06-02,2026-08-27,46,100.0,2026-08-26,"Definition changed 2026-08-17, then 2026-08-26. Earlier points are real readings of a DIFFERENT measure — the dashboard keeps them and breaks the line at each change rather than dropping them, so do not join the segments into a single series. A snapshot with an empty denominator is unknown, not zero — check the .den column before plotting. Counts a real client contact, not any edit to the record. Quotes with no contact date are left out, not counted as untouched. The line breaks where either of those changed — don't compare across a break."
change.followup_7d.population,change,2026-08-26,2026-08-27,2,4.3,2026-08-26,"Definition changed 2026-08-17, then 2026-08-26. Earlier points are real readings of a DIFFERENT measure — the dashboard keeps them and breaks the line at each change rather than dropping them, so do not join the segments into a single series. A snapshot with an empty denominator is unknown, not zero — check the .den column before plotting. Counts a real client contact, not any edit to the record. Quotes with no contact date are left out, not counted as untouched. The line breaks where either of those changed — don't compare across a break."
change.loss_reason.den,change,2026-06-02,2026-08-27,46,100.0,2026-06-02,"""Escolha""/blank is a documented NULL placeholder. The historic lost population sits on the legacy board; new losses land on Novo."
change.loss_reason.num,change,2026-06-02,2026-08-27,46,100.0,2026-06-02,"""Escolha""/blank is a documented NULL placeholder. The historic lost population sits on the legacy board; new losses land on Novo."
change.loss_reason.pct,change,2026-06-02,2026-08-27,46,100.0,2026-06-02,"""Escolha""/blank is a documented NULL placeholder. The historic lost population sits on the legacy board; new losses land on Novo."
change.segment.den,change,2026-06-02,2026-08-27,46,100.0,2026-08-17,"Repointed 2026-08-17 — earlier snapshots came off a different definition and are not comparable. Live since the 14 Aug cutover — the tier column exists only on Novo. An explicit ""N/A"" counts as unassigned. Trend starts 17 Aug, the first surviving real reading; before that the field did not exist."
change.segment.num,change,2026-06-02,2026-08-27,46,100.0,2026-08-17,"Repointed 2026-08-17 — earlier snapshots came off a different definition and are not comparable. Live since the 14 Aug cutover — the tier column exists only on Novo. An explicit ""N/A"" counts as unassigned. Trend starts 17 Aug, the first surviving real reading; before that the field did not exist."
change.segment.pct,change,2026-06-02,2026-08-27,46,100.0,2026-08-17,"Repointed 2026-08-17 — earlier snapshots came off a different definition and are not comparable. Live since the 14 Aug cutover — the tier column exists only on Novo. An explicit ""N/A"" counts as unassigned. Trend starts 17 Aug, the first surviving real reading; before that the field did not exist."
change.stalled_30d.count,change,2026-06-02,2026-08-27,46,100.0,2026-07-08,"Not comparable on 2026-06-02 (different population). A snapshot with an empty denominator is unknown, not zero — check the .den column before plotting. Open worked quotes only — the untriaged request backlog is not included. Records with no contact date and older than 30 days are left out, not assumed healthy."
change.stalled_30d.den,change,2026-06-02,2026-08-27,46,100.0,2026-07-08,"Not comparable on 2026-06-02 (different population). A snapshot with an empty denominator is unknown, not zero — check the .den column before plotting. Open worked quotes only — the untriaged request backlog is not included. Records with no contact date and older than 30 days are left out, not assumed healthy."
