date,metric,dq_id,note
2026-06-02,*,DQ-S6,"Bulk board edit (~08 Jul) reset Última modificação, so the activity-proxy metrics on this seeded date are partly artefactual."
2026-06-02,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-06-02,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-06-02,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-06-02,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-06-02,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-06-02,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-06-02,change.stalled_30d.count,not-comparable,Excluded from this metric's trend: different population.
2026-06-02,change.stalled_30d.den,not-comparable,Excluded from this metric's trend: different population.
2026-07-08,*,DQ-S6,"Bulk board edit (~08 Jul) reset Última modificação, so the activity-proxy metrics on this seeded date are partly artefactual."
2026-07-08,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-08,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-08,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-08,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-08,change.segment.num,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-08,change.segment.pct,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
2026-07-10,change.followup_7d.den,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-10,change.followup_7d.num,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-10,change.followup_7d.pct,not-comparable,Before the 2026-08-27 definition change — a real reading of a different measure. Kept on the dashboard with the line broken at that date; do not join it to later points.
2026-07-10,change.segment.den,not-comparable,Before the 2026-08-17 repoint — a real reading off a different definition. Excluded from this metric's trend on the dashboard; do not join it to later points.
